student_id,first_name,middle_name,last_name,gender,email,phone_number,department,branch,year_of_study,skills,cgpa,birthday,projects,applications,password
se21ubit001,Jerome,,Clay,Other,se21ubit001@mahindrauniversity.edu.in,(+91) 6799263118,Bio Technology,bit,4,"['Machine Learning', 'Web Development', 'Embedded Systems', 'Data Analysis', 'Networking']",9.71,2005-07-20,"['sm_mechanical_01', 'mw_computer_01']","['sm_mechanical_01@se21ubit001', 'mw_computer_01@se21ubit001']",se21ubit001@Jerome
se24umec001,Jacqueline,David,Walker,Female,se24umec001@mahindrauniversity.edu.in,(+91) 7973385884,Mechanical Engineering,mec,1,"['Web Development', 'Python', 'Machine Learning', 'Embedded Systems', 'Networking']",6.62,2001-03-08,['db_electronics_03'],['db_electronics_03@se24umec001'],se24umec001@Jacqueline
se23ucab001,Diana,,Mcpherson,Female,se23ucab001@mahindrauniversity.edu.in,(+91) 7737936289,Computational Biology,cab,2,"['Networking', 'Machine Learning']",8.44,2003-03-25,"['tm_computational_01', 'mw_computer_02']","['tm_computational_01@se23ucab001', 'mw_computer_02@se23ucab001']",se23ucab001@Diana
se24ucam001,David,,Young,Other,se24ucam001@mahindrauniversity.edu.in,(+91) 7222497513,Computational Mathematics,cam,1,"['Embedded Systems', 'Python', 'Data Analysis']",6.42,2003-10-29,"['iw_electronics_02', 'sa_electrical_01', 'lf_artificial_02', 'cr_electrical_02', 'db_electronics_03']","['iw_electronics_02@se24ucam001', 'sa_electrical_01@se24ucam001', 'lf_artificial_02@se24ucam001', 'cr_electrical_02@se24ucam001', 'db_electronics_03@se24ucam001']",se24ucam001@David
se22ucam002,John,,Reed,Other,se22ucam002@mahindrauniversity.edu.in,(+91) 9455609679,Computational Mathematics,cam,3,"['Data Analysis', 'Python', 'Networking', 'Web Development']",8.76,2001-10-18,"['dm_computer_02', 'kh_mechanical_02', 'lf_artificial_03', 'kb_computational_02']","['dm_computer_02@se22ucam002', 'kh_mechanical_02@se22ucam002', 'lf_artificial_03@se22ucam002', 'kb_computational_02@se22ucam002']",se22ucam002@John
se24uari001,William,,Flores,Other,se24uari001@mahindrauniversity.edu.in,(+91) 7374340805,Artificial Intelligence,ari,1,"['Networking', 'Python', 'Web Development', 'Machine Learning', 'Embedded Systems']",9.15,2003-07-13,['mw_computer_01'],['mw_computer_01@se24uari001'],se24uari001@William
se24ubit002,Michelle,,Patel,Male,se24ubit002@mahindrauniversity.edu.in,(+91) 6635212460,Bio Technology,bit,1,"['Embedded Systems', 'Web Development']",9.65,2005-04-01,"['mw_computer_02', 'cm_bio_02']","['mw_computer_02@se24ubit002', 'cm_bio_02@se24ubit002']",se24ubit002@Michelle
se22uciv001,Roger,,Wall,Male,se22uciv001@mahindrauniversity.edu.in,(+91) 6817250109,Civil Engineering,civ,3,"['Data Analysis', 'Machine Learning', 'Web Development', 'Networking', 'Embedded Systems']",9.02,2005-04-12,"['db_electronics_04', 'dm_computer_01']","['db_electronics_04@se22uciv001', 'dm_computer_01@se22uciv001']",se22uciv001@Roger
se22ueee001,Maria,Sarah,Dean,Female,se22ueee001@mahindrauniversity.edu.in,(+91) 6786150535,Electrical Engineering,eee,3,"['Machine Learning', 'Data Analysis', 'Web Development', 'Embedded Systems']",9.48,2003-06-22,"['nw_electronics_01', 'jl_computer_01', 'cm_bio_02', 'lf_artificial_02']","['nw_electronics_01@se22ueee001', 'jl_computer_01@se22ueee001', 'cm_bio_02@se22ueee001', 'lf_artificial_02@se22ueee001']",se22ueee001@Maria
se21ubit003,Kelly,,Carlson,Female,se21ubit003@mahindrauniversity.edu.in,(+91) 6880724452,Bio Technology,bit,4,"['Python', 'Data Analysis', 'Embedded Systems']",10.0,2000-05-29,"['jl_computer_03', 'db_electronics_05', 'ar_artificial_02', 'tm_computational_02', 'cb_computer_01']","['jl_computer_03@se21ubit003', 'db_electronics_05@se21ubit003', 'ar_artificial_02@se21ubit003', 'tm_computational_02@se21ubit003', 'cb_computer_01@se21ubit003']",se21ubit003@Kelly
se23ucse001,Alexander,,Hunter,Male,se23ucse001@mahindrauniversity.edu.in,(+91) 9822219958,Computer Science,cse,2,"['Embedded Systems', 'Machine Learning', 'Python', 'Web Development', 'Data Analysis']",7.84,2003-10-26,"['db_electronics_02', 'mw_computer_02', 'ej_bio_01']","['db_electronics_02@se23ucse001', 'mw_computer_02@se23ucse001', 'ej_bio_01@se23ucse001']",se23ucse001@Alexander
se23uecm001,Shawn,,Sanders,Other,se23uecm001@mahindrauniversity.edu.in,(+91) 6583192795,Electronics and Computation,ecm,2,"['Data Analysis', 'Web Development', 'Embedded Systems', 'Machine Learning']",6.72,2002-02-23,"['eg_artificial_02', 'yg_mechanical_01', 'ar_artificial_01', 'gh_artificial_04']","['eg_artificial_02@se23uecm001', 'yg_mechanical_01@se23uecm001', 'ar_artificial_01@se23uecm001', 'gh_artificial_04@se23uecm001']",se23uecm001@Shawn
se21uecm002,Stephanie,,Perez,Male,se21uecm002@mahindrauniversity.edu.in,(+91) 7171579550,Electronics and Computation,ecm,4,"['Python', 'Data Analysis', 'Web Development', 'Machine Learning']",7.47,2002-06-04,"['nw_electronics_01', 'cm_bio_02']","['nw_electronics_01@se21uecm002', 'cm_bio_02@se21uecm002']",se21uecm002@Stephanie
se24ucse002,Brian,Michaela,Williams,Female,se24ucse002@mahindrauniversity.edu.in,(+91) 6322945541,Computer Science,cse,1,"['Machine Learning', 'Python', 'Web Development']",7.77,2002-05-16,['kh_mechanical_02'],['kh_mechanical_02@se24ucse002'],se24ucse002@Brian
